"E5100A REV3.31"
"DATE: Mar 19 2044"



"CHANNEL: 1"
"MEASURE TYPE: AR"
"FORMAT TYPE: MAGZP"
"NUMBER of POINTS: 201"
"SWEEP TIME:  64.32 ms"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 30 kHz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	3.600370E+02	8.504453E-01
1.50995000000E+06	2.664261E+02	-1.534820E+00
3.00990000000E+06	2.656085E+02	-9.712138E-01
4.50985000000E+06	2.653935E+02	-8.168374E-01
6.00980000000E+06	2.660798E+02	-8.666528E-01
7.50975000000E+06	2.658586E+02	-9.104985E-01
9.00970000000E+06	2.657323E+02	-9.791045E-01
1.05096500000E+07	2.656487E+02	-1.145316E+00
1.20096000000E+07	2.662181E+02	-1.346487E+00
1.35095500000E+07	2.660479E+02	-1.362646E+00
1.50095000000E+07	2.660192E+02	-1.528429E+00
1.65094500000E+07	2.660382E+02	-1.676497E+00
1.80094000000E+07	2.659531E+02	-1.889925E+00
1.95093500000E+07	2.661888E+02	-1.967046E+00
2.10093000000E+07	2.657375E+02	-2.215291E+00
2.25092500000E+07	2.656246E+02	-2.199872E+00
2.40092000000E+07	2.659958E+02	-2.414292E+00
2.55091500000E+07	2.657072E+02	-2.527408E+00
2.70091000000E+07	2.657285E+02	-2.585138E+00
2.85090500000E+07	2.648311E+02	-2.712864E+00
3.00090000000E+07	2.639142E+02	-2.975728E+00
3.15089500000E+07	2.655865E+02	-3.131499E+00
3.30089000000E+07	2.654919E+02	-3.140571E+00
3.45088500000E+07	2.649294E+02	-3.410331E+00
3.60088000000E+07	2.652838E+02	-3.563684E+00
3.75087500000E+07	2.649710E+02	-3.617971E+00
3.90087000000E+07	2.650768E+02	-3.843769E+00
4.05086500000E+07	2.646872E+02	-3.922276E+00
4.20086000000E+07	2.650415E+02	-4.092508E+00
4.35085500000E+07	2.649036E+02	-4.284624E+00
4.50085000000E+07	2.655262E+02	-4.528786E+00
4.65084500000E+07	2.653203E+02	-4.804871E+00
4.80084000000E+07	2.619424E+02	-4.952291E+00
4.95083500000E+07	2.664808E+02	-4.697159E+00
5.10083000000E+07	2.645195E+02	-5.393103E+00
5.25082500000E+07	2.635513E+02	-5.412367E+00
5.40082000000E+07	2.635133E+02	-5.486128E+00
5.55081500000E+07	2.638547E+02	-5.533664E+00
5.70081000000E+07	2.632444E+02	-5.680372E+00
5.85080500000E+07	2.624569E+02	-5.851348E+00
6.00080000000E+07	2.626790E+02	-5.993640E+00
6.15079500000E+07	2.619780E+02	-6.110592E+00
6.30079000000E+07	2.616410E+02	-6.319669E+00
6.45078500000E+07	2.627410E+02	-6.387564E+00
6.60078000000E+07	2.619117E+02	-6.601680E+00
6.75077500000E+07	2.618720E+02	-6.602930E+00
6.90077000000E+07	2.615343E+02	-6.821145E+00
7.05076500000E+07	2.617180E+02	-6.980494E+00
7.20076000000E+07	2.615150E+02	-7.094030E+00
7.35075500000E+07	2.611289E+02	-7.191535E+00
7.50075000000E+07	2.616394E+02	-7.300162E+00
7.65074500000E+07	2.611814E+02	-7.310492E+00
7.80074000000E+07	2.606823E+02	-7.475670E+00
7.95073500000E+07	2.606039E+02	-7.826331E+00
8.10073000000E+07	2.606087E+02	-7.884538E+00
8.25072500000E+07	2.604547E+02	-8.245958E+00
8.40072000000E+07	2.601654E+02	-8.144310E+00
8.55071500000E+07	2.599512E+02	-8.388472E+00
8.70071000000E+07	2.588905E+02	-8.526045E+00
8.85070500000E+07	2.594423E+02	-8.523396E+00
9.00070000000E+07	2.594084E+02	-8.704412E+00
9.15069500000E+07	2.583239E+02	-8.835288E+00
9.30069000000E+07	2.582825E+02	-8.904829E+00
9.45068500000E+07	2.583943E+02	-9.139571E+00
9.60068000000E+07	2.586277E+02	-9.268522E+00
9.75067500000E+07	2.580271E+02	-9.575210E+00
9.90067000000E+07	2.582152E+02	-9.466516E+00
1.00506650000E+08	2.575387E+02	-9.634387E+00
1.02006600000E+08	2.571132E+02	-9.795118E+00
1.03506550000E+08	2.567335E+02	-9.881033E+00
1.05006500000E+08	2.573948E+02	-1.009487E+01
1.06506450000E+08	2.566847E+02	-1.013619E+01
1.08006400000E+08	2.562578E+02	-1.027368E+01
1.09506350000E+08	2.564153E+02	-1.049530E+01
1.11006300000E+08	2.561309E+02	-1.058601E+01
1.12506250000E+08	2.552339E+02	-1.067010E+01
1.14006200000E+08	2.549669E+02	-1.092949E+01
1.15506150000E+08	2.554695E+02	-1.117348E+01
1.17006100000E+08	2.547794E+02	-1.106050E+01
1.18506050000E+08	2.546792E+02	-1.117990E+01
1.20006000000E+08	2.544314E+02	-1.148471E+01
1.21505950000E+08	2.538338E+02	-1.161244E+01
1.23005900000E+08	2.534300E+02	-1.176490E+01
1.24505850000E+08	2.531461E+02	-1.190115E+01
1.26005800000E+08	2.531903E+02	-1.202416E+01
1.27505750000E+08	2.522492E+02	-1.215380E+01
1.29005700000E+08	2.516717E+02	-1.223955E+01
1.30505650000E+08	2.510144E+02	-1.238079E+01
1.32005600000E+08	2.501818E+02	-1.276815E+01
1.33505550000E+08	2.481259E+02	-1.265858E+01
1.35005500000E+08	2.467627E+02	-1.275282E+01
1.36505450000E+08	2.446116E+02	-1.293270E+01
1.38005400000E+08	2.408530E+02	-1.294614E+01
1.39505350000E+08	2.342985E+02	-1.241746E+01
1.41005300000E+08	2.234503E+02	-9.459701E+00
1.42505250000E+08	2.475290E+02	-1.865608E+00
1.44005200000E+08	2.781059E+02	-6.105888E+00
1.45505150000E+08	2.776879E+02	-1.113154E+01
1.47005100000E+08	2.732439E+02	-1.278785E+01
1.48505050000E+08	2.705378E+02	-1.345023E+01
1.50005000000E+08	2.701977E+02	-1.416611E+01
1.51504950000E+08	2.740843E+02	-1.569480E+01
