"E5100A REV3.31"
"DATE: Mar 19 2044"



"CHANNEL: 1"
"MEASURE TYPE: AR"
"FORMAT TYPE: MAGZP"
"NUMBER of POINTS: 201"
"SWEEP TIME:  64.32 ms"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 30 kHz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	4.152770E+02	2.872439E+00
1.50995000000E+06	4.714227E+02	-1.390759E+00
3.00990000000E+06	4.689656E+02	-1.115570E+00
4.50985000000E+06	4.684698E+02	-1.078026E+00
6.00980000000E+06	4.692701E+02	-1.247449E+00
7.50975000000E+06	4.683146E+02	-1.341452E+00
9.00970000000E+06	4.686928E+02	-1.619940E+00
1.05096500000E+07	4.680048E+02	-1.817109E+00
1.20096000000E+07	4.682435E+02	-1.903725E+00
1.35095500000E+07	4.684127E+02	-2.173661E+00
1.50095000000E+07	4.677990E+02	-2.485339E+00
1.65094500000E+07	4.690338E+02	-2.606955E+00
1.80094000000E+07	4.674943E+02	-2.874476E+00
1.95093500000E+07	4.683528E+02	-3.251389E+00
2.10093000000E+07	4.674020E+02	-3.461232E+00
2.25092500000E+07	4.685818E+02	-3.453916E+00
2.40092000000E+07	4.692339E+02	-3.676050E+00
2.55091500000E+07	4.689973E+02	-3.979530E+00
2.70091000000E+07	4.668733E+02	-4.175978E+00
2.85090500000E+07	4.665655E+02	-4.376910E+00
3.00090000000E+07	4.653331E+02	-4.685363E+00
3.15089500000E+07	4.671291E+02	-5.072248E+00
3.30089000000E+07	4.668661E+02	-5.039300E+00
3.45088500000E+07	4.656718E+02	-5.267221E+00
3.60088000000E+07	4.664320E+02	-5.558484E+00
3.75087500000E+07	4.658611E+02	-5.549406E+00
3.90087000000E+07	4.654059E+02	-6.057964E+00
4.05086500000E+07	4.676402E+02	-6.209053E+00
4.20086000000E+07	4.673808E+02	-6.567568E+00
4.35085500000E+07	4.668370E+02	-6.764210E+00
4.50085000000E+07	4.661270E+02	-7.090776E+00
4.65084500000E+07	4.673914E+02	-7.666221E+00
